age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
24,4,179516,15,4,4,3,2,0,0,0,36,39,0
29,7,261756,15,4,12,3,4,0,0,0,19,39,0
62,6,124521,9,2,3,0,4,1,0,0,59,39,0
49,4,124499,7,2,4,0,4,1,0,0,63,39,1
22,5,148312,9,4,12,3,2,0,0,0,40,39,0
54,4,182271,11,2,12,0,4,1,0,0,46,39,0
52,4,193777,11,5,12,1,4,1,0,0,40,39,0
30,2,215863,15,0,12,3,2,1,0,0,40,39,0
42,4,311258,11,4,12,1,4,0,0,0,34,39,0
50,4,103212,11,2,3,0,4,1,0,0,50,39,1
18,5,186629,9,4,12,3,4,1,0,0,15,39,0
36,7,98156,9,4,10,1,4,1,0,0,55,39,0
33,4,172808,15,4,13,1,4,1,0,0,40,39,0
39,0,29328,11,2,0,5,4,0,0,0,21,39,0
21,4,201239,11,2,1,0,4,1,0,0,40,39,0
20,4,180399,15,4,8,3,4,0,0,0,21,39,0
58,6,114500,9,0,3,1,4,1,0,0,40,39,0
52,4,385912,9,2,13,0,4,1,0,1888,50,39,1
35,6,296531,15,0,3,4,4,1,0,0,57,39,0
37,4,191453,11,2,14,0,4,1,0,0,40,39,0
23,4,188079,1,2,12,0,4,1,0,0,20,39,0
50,4,158653,8,2,3,0,4,1,3537,0,40,39,0
26,4,64824,11,4,14,1,4,1,0,0,50,39,0
51,4,82374,15,0,3,1,4,0,0,0,40,39,0
28,4,217602,11,2,3,0,4,1,0,0,40,39,0
22,4,196179,0,4,6,3,4,1,0,0,36,39,0
38,7,47013,9,2,12,0,4,1,3326,0,12,0,1
33,6,118047,11,0,8,1,4,0,0,0,40,39,0
39,4,301038,11,2,1,0,4,1,0,0,40,39,0
39,1,28400,9,4,1,1,4,1,0,0,51,39,0
32,0,76470,0,0,0,1,4,1,0,0,40,39,0
26,4,240230,8,4,3,2,2,1,0,0,50,39,0
17,7,38785,15,4,0,3,4,0,0,0,20,39,0
28,4,224881,15,2,11,0,4,1,0,0,40,39,0
47,6,77642,15,4,1,1,4,0,0,0,40,6,0
35,4,50292,15,4,4,3,4,0,0,0,40,39,0
33,4,265148,7,2,4,0,4,1,0,0,59,39,1
51,2,36524,9,2,1,0,4,1,0,0,38,39,0
60,4,117804,15,0,14,1,4,1,0,0,50,39,0
60,0,223561,9,2,0,0,4,1,0,0,60,39,1
36,7,94252,11,0,1,4,4,0,3447,0,40,39,0
49,6,438577,11,2,3,0,4,1,0,0,40,39,0
26,6,256244,15,4,13,3,4,1,0,0,30,39,0
18,4,219284,7,4,1,1,4,0,0,0,40,39,0
46,4,167523,11,0,12,4,2,1,0,0,18,39,0
52,4,209318,4,2,14,0,4,1,0,2595,40,8,1
47,4,310914,9,0,1,1,4,0,0,0,45,39,0
37,4,216331,11,2,3,0,4,1,0,0,40,39,0
36,4,185308,11,2,3,0,4,1,0,1985,40,39,0
43,7,216018,10,2,4,0,4,1,0,2334,40,2,1
33,4,166881,15,3,4,4,1,0,0,0,40,39,0
35,4,458448,9,4,13,1,4,1,0,0,50,39,1
25,4,195724,15,2,7,0,4,1,0,0,40,39,1
33,6,138188,11,2,3,0,4,1,0,0,40,39,0
23,4,47289,11,2,12,0,1,1,0,0,40,41,0
45,4,194680,0,0,7,1,4,1,0,0,40,39,0
28,4,206115,11,4,4,4,2,0,0,0,40,39,0
26,4,47784,9,4,7,1,4,1,0,0,58,39,0
21,4,243120,15,4,6,1,4,1,0,0,40,39,0
22,4,27507,9,4,10,1,4,1,0,0,50,39,0
37,6,151299,9,2,10,0,4,1,0,0,32,39,1
52,4,137995,1,2,8,0,4,1,7450,0,40,39,1
44,1,114352,9,2,13,0,1,1,0,0,38,39,1
46,4,138368,0,2,8,5,4,0,0,0,35,39,0
33,4,191073,11,0,5,1,4,1,0,0,40,21,0
24,4,119153,10,2,10,0,4,1,0,0,50,39,0
50,4,174216,15,0,7,1,4,0,0,0,40,39,0
27,4,36210,9,4,3,1,4,1,0,0,53,39,0
20,2,363574,15,2,10,0,4,1,0,0,11,39,0
30,4,35028,8,4,3,2,4,1,0,0,50,39,0
27,4,273181,11,2,3,0,4,1,0,0,20,39,0
53,4,112053,11,2,8,0,4,1,2899,0,47,39,0
51,7,79624,9,0,8,4,2,0,0,0,40,39,0
55,5,222570,11,2,3,0,4,1,0,0,58,39,1
37,4,193754,11,4,1,1,4,1,0,0,40,39,0
61,0,166563,7,2,0,0,4,1,0,0,36,39,0
33,4,89696,1,2,14,0,4,1,3298,0,55,39,0
18,4,93525,15,4,12,3,1,0,0,0,36,35,0
54,4,213427,9,0,12,1,4,0,0,0,40,39,0
61,5,213329,11,2,3,0,4,1,0,0,61,39,0
40,0,292908,8,2,0,0,4,1,0,0,7,39,0
19,4,258052,11,4,14,3,4,1,0,0,45,39,0
29,4,90718,5,4,3,3,4,1,0,0,40,39,0
27,2,36938,8,2,10,3,4,0,0,0,33,39,0
43,4,200545,11,2,7,0,4,1,0,0,40,39,0
23,4,170911,9,5,8,1,4,1,0,0,20,39,0
23,4,118535,12,4,8,1,4,0,0,0,45,39,0
57,2,184486,9,0,10,1,4,0,3448,0,40,39,0
29,5,174970,11,2,4,0,4,1,0,0,50,39,0
52,4,189214,15,4,1,2,4,1,0,0,40,6,0
40,4,352138,2,2,3,0,4,1,0,0,40,39,0
53,4,94860,15,2,4,0,4,1,0,0,40,39,0
39,0,271189,14,0,10,4,4,0,0,0,30,39,0
50,4,247553,11,0,4,1,4,0,0,945,40,39,0
48,4,265208,9,2,12,0,4,1,0,0,59,39,1
24,4,252208,8,2,3,0,4,1,0,0,40,39,0
42,4,202292,11,4,7,5,4,0,0,0,47,39,0
46,2,92998,15,2,3,0,2,1,0,0,40,39,0
35,4,175852,15,2,13,0,4,1,0,0,47,39,1
36,4,34247,9,2,12,0,4,1,0,0,40,39,0
34,4,308156,15,2,1,5,4,0,0,0,20,39,0
31,4,75365,9,0,1,1,4,0,0,0,40,39,0
59,6,143342,7,2,5,0,4,1,0,0,40,39,1
38,2,69645,12,6,10,1,4,0,14868,0,40,39,0
37,4,349706,1,2,7,0,4,1,0,0,40,24,0
30,4,150057,15,2,14,1,4,1,0,0,50,39,1
25,4,97838,9,4,8,3,4,0,0,0,40,30,0
39,2,437814,8,2,11,0,4,1,0,0,40,39,0
59,4,131765,11,2,3,0,4,1,0,0,58,39,0
19,6,190092,15,4,8,3,4,1,0,0,23,39,0
48,2,356267,11,2,11,0,4,1,0,0,38,39,1
46,7,193737,14,2,10,0,4,1,14966,0,40,39,1
49,6,108824,11,2,7,0,4,1,0,0,21,39,0
35,4,130498,11,2,8,5,4,0,0,0,21,39,0
52,7,187764,1,2,11,0,4,1,0,0,40,39,0
36,4,187520,10,0,10,4,4,0,0,0,40,39,0
23,4,168336,11,4,13,1,4,0,0,0,62,39,0
36,4,230274,15,2,3,0,4,1,0,1854,40,39,1
35,4,180233,11,2,7,0,4,1,0,0,40,39,0
17,1,23664,9,4,10,3,4,0,0,0,40,39,0
25,4,132413,15,4,3,1,4,1,0,0,40,39,0
46,4,187569,14,0,14,4,4,0,0,0,59,22,0
37,4,185873,11,4,7,1,4,0,0,0,40,39,0
51,4,178406,11,0,3,1,4,1,0,0,37,39,0
23,5,134272,1,4,3,3,4,1,0,0,40,39,0
78,4,246671,9,0,12,1,4,1,0,0,68,39,0
48,6,144702,11,2,3,0,4,1,0,0,50,39,1
32,6,39378,15,2,5,0,4,1,0,0,74,39,0
47,4,451610,11,2,12,0,2,1,0,0,40,39,0
36,4,336840,9,2,12,0,4,1,0,0,45,39,0
29,4,252254,15,2,4,0,4,1,0,0,58,39,1
64,6,482665,10,6,13,1,4,1,0,0,14,39,0
50,2,162869,9,2,12,0,4,1,0,0,40,39,1
45,0,258430,11,2,0,0,4,1,0,0,40,39,0
68,4,173930,1,6,14,1,4,1,0,0,40,39,0
58,4,140889,4,3,6,1,4,1,0,0,56,39,1
44,4,334410,9,2,1,5,4,0,0,0,35,39,1
46,4,102512,9,2,10,0,4,1,0,0,40,39,1
37,0,94915,6,4,3,3,4,0,0,0,40,39,0
51,0,288688,15,2,0,5,4,0,0,0,16,39,0
31,4,579337,10,2,10,0,4,1,0,0,40,0,0
17,4,259146,9,4,1,3,4,1,0,0,36,39,0
22,4,358963,11,2,7,5,4,0,0,0,40,39,0
42,4,104332,2,4,9,1,1,0,3145,0,31,18,0
43,4,262404,11,2,11,0,4,1,0,0,40,39,0
50,0,265790,1,6,0,4,2,0,0,0,17,39,0
34,4,121915,11,2,3,0,4,1,0,0,40,39,1
35,4,100219,1,4,8,3,4,1,0,0,40,39,0
48,4,122290,8,2,3,0,4,1,0,0,47,39,0
35,6,283318,11,2,3,0,4,1,0,0,27,0,0
50,6,186510,5,2,4,0,4,1,3344,0,50,39,0
54,0,89230,0,2,0,0,4,1,0,0,40,39,0
53,4,136361,11,3,12,1,4,1,0,0,18,39,0
53,4,110405,9,2,10,0,4,1,99855,1901,50,39,1
20,4,370534,15,4,1,3,4,0,0,0,20,39,0
56,2,193244,11,2,11,0,4,1,0,0,40,39,0
32,4,273376,5,0,8,4,2,1,0,0,40,39,0
59,5,144748,7,2,4,0,4,1,0,0,40,39,1
39,2,200113,11,2,11,0,4,1,0,0,40,39,0
25,4,281347,11,4,8,1,4,0,0,0,21,20,1
29,4,21747,10,2,10,0,4,1,7341,0,40,0,1
37,4,54299,15,4,1,3,4,0,0,0,40,39,0
42,4,223360,11,2,1,5,4,0,0,0,40,23,0
39,4,249769,0,0,8,4,2,0,0,0,40,39,0
59,4,155272,15,0,4,1,4,1,0,0,40,39,1
76,4,115047,11,6,8,1,4,0,0,0,40,39,0
32,4,456179,11,3,1,4,0,1,0,0,40,39,0
35,4,208826,15,4,12,2,4,1,0,0,45,39,0
27,4,269694,1,2,8,0,4,1,0,0,59,39,0
34,1,341302,11,4,13,1,2,0,0,0,40,39,1
68,4,176569,11,6,4,1,4,0,0,0,17,39,1
58,4,237793,11,6,6,1,2,0,0,0,30,39,0
41,4,231247,15,0,8,1,4,0,0,0,40,39,0
23,4,267787,9,4,12,1,4,1,0,0,50,39,0
20,4,334172,0,4,14,2,2,1,0,0,80,39,0
26,4,190647,15,0,12,3,4,0,0,0,40,39,0
38,4,232981,11,2,3,0,4,1,0,0,40,39,0
29,4,152086,11,4,8,4,4,1,0,0,30,7,0
35,4,227071,11,0,8,1,4,0,0,0,40,39,0
20,7,314665,10,4,1,1,4,1,0,0,50,39,0
20,4,176873,11,4,3,3,4,1,0,0,40,39,0
23,2,258006,15,4,11,4,4,1,0,0,30,18,0
21,4,253509,1,2,6,0,4,1,0,0,45,39,0
40,4,253517,9,2,11,0,4,1,0,0,47,39,1
47,6,203375,8,2,3,0,4,1,0,0,40,39,0
22,4,207828,11,4,8,3,4,0,0,0,36,39,0
44,1,44491,11,0,10,1,4,0,0,0,40,39,0
50,4,24840,11,4,13,2,4,1,0,0,37,39,0
59,0,68946,11,2,0,2,4,0,0,0,40,39,0
54,4,172014,11,2,8,0,2,1,0,0,26,39,0
48,4,200076,11,0,4,4,4,0,0,0,40,39,0
35,4,133164,15,0,12,4,4,0,0,0,40,39,0
39,4,169332,11,4,7,1,4,1,0,0,40,39,0
34,4,178987,7,4,12,1,4,0,0,0,40,39,0
64,5,29638,6,2,4,5,4,1,0,0,36,39,1
41,4,179863,8,2,3,0,1,1,0,0,40,0,0
41,4,395662,11,2,12,5,4,0,0,0,19,39,0
22,4,326738,9,4,1,1,4,1,0,0,40,39,0
53,0,238458,6,0,0,1,2,0,0,0,40,39,0
26,4,164974,11,2,13,0,4,1,0,0,40,39,1
42,4,323623,1,2,7,0,4,1,0,0,40,39,0
62,5,253117,11,2,12,0,4,1,0,0,44,39,0
47,5,130187,11,2,3,0,4,1,0,0,40,39,0
68,5,213703,10,2,12,0,4,1,0,0,50,39,1
31,4,253022,11,4,14,1,4,1,0,0,40,39,0
25,4,52685,11,0,7,1,4,0,3114,0,45,39,0
26,4,119550,6,3,8,3,1,0,0,0,38,3,0
35,4,219028,11,2,3,0,4,1,0,0,40,39,0
19,4,186496,11,2,7,0,4,1,0,0,40,39,0
51,4,41755,12,2,4,0,4,1,0,0,44,39,1
48,5,174551,15,2,4,0,4,1,3461,0,40,39,1
44,4,127516,11,6,3,0,4,1,0,0,40,39,0
38,4,124677,15,4,1,1,4,1,0,0,54,39,0
58,4,169328,11,2,3,0,4,1,0,0,40,39,0
33,4,47620,11,0,3,3,2,0,0,0,40,39,0
42,4,18449,8,6,5,1,4,0,0,0,9,39,0
63,4,198536,0,6,13,4,2,0,0,0,30,39,0
28,6,393633,2,2,5,0,4,1,0,0,74,39,0
21,3,126777,0,4,0,3,4,1,0,0,26,39,0
53,2,334168,15,2,1,0,4,1,0,0,52,39,0
39,4,24806,15,0,5,4,4,1,0,0,77,39,0
77,0,199978,8,2,0,0,4,1,0,0,16,39,0
28,4,67505,15,4,1,1,4,0,3274,0,40,39,0
32,2,282453,7,2,8,5,4,0,0,0,60,39,0
72,4,104992,0,4,13,1,4,1,0,0,50,39,0
58,4,167933,0,0,7,4,4,0,0,0,31,27,0
55,2,134606,11,0,14,1,4,0,0,0,40,39,0
62,0,165734,5,6,0,4,4,0,0,0,35,39,0
22,4,347121,9,2,10,0,4,1,0,0,40,39,1
25,4,338696,11,4,6,1,4,1,0,0,25,39,0
36,5,226019,9,4,13,3,4,1,0,0,20,39,0
37,0,240787,3,4,0,1,4,1,0,0,40,26,0
47,6,216323,15,2,4,0,4,1,0,0,58,39,0
73,4,51643,11,2,3,0,4,1,14834,0,40,39,1
25,4,317550,11,4,7,1,4,0,0,0,40,39,0
44,4,213191,11,2,4,0,4,1,0,0,40,39,0
45,5,117761,11,2,3,0,4,1,0,0,40,39,1
46,4,94008,11,2,1,0,4,1,14947,0,40,39,1
56,2,246788,9,2,4,0,4,1,0,0,59,39,0
29,6,653261,11,2,10,0,4,1,0,0,48,39,1
77,0,166908,8,2,0,0,4,1,0,0,6,39,0
19,4,101074,15,4,1,3,4,0,0,0,81,39,0
21,4,82481,11,0,10,1,4,0,0,0,40,39,0
48,4,149196,11,2,3,0,4,1,0,0,40,39,0
38,4,100998,11,2,3,0,4,1,0,2327,45,39,0
37,4,83238,11,4,13,3,4,1,0,0,40,39,0
42,2,67053,9,2,11,0,4,1,0,0,47,39,1
41,4,195664,11,2,14,0,4,1,0,0,40,39,0
19,0,163250,1,2,0,5,4,1,0,0,14,39,0
34,2,36491,10,2,10,0,4,1,0,0,3,39,0
55,4,106777,2,0,7,4,4,0,0,0,40,39,0
49,4,194449,1,3,1,2,4,0,0,0,30,39,0
26,4,193719,11,4,7,1,2,0,0,0,40,39,0
37,4,20596,11,2,7,0,4,1,0,0,40,39,0
46,4,121052,8,4,12,3,4,1,3121,0,29,39,0
37,4,165135,7,4,10,4,4,1,0,0,40,39,0
28,4,99894,11,4,8,2,4,1,0,0,45,39,0
46,1,142163,15,0,1,3,4,1,0,0,40,39,0
34,6,217864,9,2,4,0,4,1,0,0,40,0,0
60,4,31689,11,2,4,0,4,1,3361,0,40,39,1
21,4,148302,1,2,12,0,4,1,0,0,63,39,0
80,0,36886,11,6,0,1,4,0,0,0,40,39,0
50,4,108509,1,4,4,1,4,1,0,0,21,39,0
41,4,318257,5,2,7,0,4,1,0,0,40,39,0
48,4,103206,11,2,4,0,4,1,0,0,40,39,1
39,4,203351,0,4,14,1,4,1,0,1705,40,39,0
30,4,187924,15,4,11,4,2,0,0,0,30,39,0
27,4,122558,11,0,4,1,4,1,0,0,50,39,0
45,1,72109,8,2,5,0,4,1,0,0,40,39,0
40,4,121017,6,2,4,0,4,1,0,0,40,39,1
29,7,131001,15,2,1,0,4,1,0,0,40,39,0
30,4,330441,11,4,13,1,4,1,0,0,50,39,0
34,2,168774,15,0,10,4,4,1,0,0,50,39,0
52,4,111892,11,2,4,0,4,1,0,0,40,39,1
39,7,24312,15,2,4,0,4,1,0,0,40,39,0
47,4,90333,0,6,8,4,4,0,0,0,37,6,0
40,4,151887,9,4,4,4,4,0,0,0,40,39,0
31,4,42681,15,0,3,4,4,0,0,0,40,39,0
55,4,280204,11,2,3,0,4,1,0,0,40,39,0
31,4,30999,9,4,4,1,4,0,0,0,11,39,0
32,4,158241,8,2,13,0,4,1,0,1890,40,39,1
69,4,110322,1,2,5,0,4,1,0,0,50,39,0
25,4,97689,1,2,10,5,4,0,0,0,25,39,0
43,4,54446,15,3,7,1,4,1,0,0,40,39,0
28,4,124537,11,4,12,3,4,0,0,0,40,39,0
51,2,204122,11,2,3,0,4,1,0,0,36,39,0
60,0,112247,7,2,4,5,4,0,0,0,40,39,1
34,4,171603,11,4,12,3,2,0,0,0,40,39,0
38,4,69931,9,2,13,0,2,1,0,0,61,39,1
18,4,161383,11,4,0,3,4,1,0,0,40,39,0
50,6,52737,8,2,10,0,4,1,0,0,50,39,0
81,6,346675,15,2,3,0,4,1,0,0,81,39,0
32,4,130922,11,2,3,0,4,1,7430,0,40,39,1
58,4,90898,11,0,4,1,4,1,0,0,40,39,0
36,4,317321,11,2,14,0,4,1,0,0,40,39,0
53,2,206879,11,2,12,0,4,1,7534,0,40,39,1
35,4,177039,1,4,1,1,4,1,0,0,40,39,0
23,4,103254,15,4,13,1,1,0,0,0,40,40,1
43,4,198517,9,2,10,0,4,1,0,1997,40,39,1
60,4,150961,5,2,8,0,4,1,7365,0,40,39,0
27,4,256452,4,4,1,1,2,1,0,0,40,21,0
42,2,329565,12,2,10,0,4,1,0,0,40,19,1
37,4,122376,11,2,6,0,1,1,0,0,40,40,0
26,4,175822,15,4,3,1,4,1,0,0,40,39,0
31,2,178321,12,2,10,5,4,0,0,0,21,39,1
41,1,182440,11,0,11,5,2,0,0,0,40,39,0
21,4,201412,0,4,3,3,4,1,0,0,40,39,0
21,4,89498,1,4,3,3,4,1,0,0,40,39,0
21,4,378204,15,2,3,0,4,1,0,0,31,39,0
29,4,137932,8,0,3,1,2,1,0,0,40,39,0
25,6,350305,15,0,12,1,4,1,0,0,40,39,0
19,4,79862,15,4,1,3,4,1,0,0,40,39,0
48,4,126479,11,4,6,1,4,1,0,0,18,39,0
75,4,108638,11,2,4,0,4,1,0,0,40,39,0
65,1,121555,9,2,10,0,4,1,0,0,45,39,1
58,4,193201,11,4,13,1,4,0,0,0,42,39,0
50,4,191933,11,2,3,0,4,1,0,0,40,39,0
78,6,430687,11,2,13,0,4,1,0,0,54,39,1
55,4,30573,9,2,4,0,4,1,0,0,29,39,1
39,4,89462,9,2,12,0,4,1,0,0,56,39,0
39,6,69091,15,2,3,0,4,1,0,0,40,39,0
49,4,91518,11,0,3,4,4,1,0,0,40,39,0
29,4,76922,13,4,3,4,4,1,0,0,31,39,0
53,4,83118,15,2,4,0,4,1,0,1984,63,39,1
33,4,246477,15,4,3,2,4,0,0,0,22,39,1
26,4,237117,15,4,12,4,4,0,0,0,40,26,0
28,5,166784,9,2,8,0,4,1,0,0,36,39,0
51,4,180606,15,0,4,1,4,0,0,0,50,33,0
34,4,162006,1,4,1,1,4,0,0,0,15,39,0
24,4,104200,15,0,4,4,4,0,0,0,50,39,0
45,5,96263,10,2,4,0,4,1,0,0,81,39,1
58,0,72367,11,2,0,0,2,1,0,0,30,39,0
36,4,125979,11,2,3,0,4,1,0,0,40,39,0
33,4,166786,14,2,10,0,4,1,0,1442,77,39,0
30,0,97218,11,2,0,0,4,1,0,0,40,39,0
59,4,165791,12,2,4,0,4,1,14874,0,11,39,1
56,0,178947,11,0,0,1,4,0,0,0,40,39,0
39,4,333617,9,2,12,0,4,1,0,0,30,39,0
27,4,188915,11,4,4,1,4,0,0,0,40,39,0
39,4,185022,8,2,13,0,4,1,0,0,40,39,0
43,4,193980,11,0,8,1,4,0,0,0,40,39,0
34,6,303459,6,2,3,0,4,1,0,0,45,39,1
40,4,223210,4,2,12,0,4,1,0,0,34,39,0
42,4,207998,15,4,13,5,4,0,0,0,29,39,0
62,4,323331,11,6,8,1,4,1,0,0,40,39,0
21,4,222860,11,4,3,3,4,0,0,0,40,39,0
19,4,70898,1,4,12,3,4,0,3195,0,40,39,0
49,4,223476,11,0,1,4,4,0,0,0,40,39,0
45,4,207231,9,2,10,0,4,1,0,0,45,39,1
26,4,230424,15,2,3,0,4,1,0,0,57,39,0
50,6,136897,11,2,1,0,4,1,0,0,31,39,0
68,4,112068,9,2,12,0,1,0,0,0,40,35,1
37,2,110216,12,2,10,5,4,0,14961,0,40,39,1
45,4,332336,9,2,13,0,4,1,0,1891,50,39,1
56,5,114087,9,2,12,0,4,1,0,0,50,39,1
28,4,438151,11,2,3,0,4,1,0,0,40,39,0
34,4,319320,11,2,14,5,4,0,3283,0,40,39,0
18,4,252255,15,4,1,3,2,0,0,0,40,39,0
37,4,174488,9,2,10,5,4,0,0,0,40,39,1
45,4,292811,12,2,4,0,4,1,0,0,45,39,0
36,4,194869,11,2,12,0,4,1,0,0,56,39,1
38,4,101867,8,4,3,1,4,1,0,0,40,39,0
45,6,55413,10,2,10,0,4,1,7433,0,50,39,1
35,4,153840,9,2,10,0,4,1,0,0,40,39,1
50,4,140591,11,2,7,0,4,1,0,0,40,39,0
56,4,140512,1,2,3,0,4,1,0,0,40,39,0
39,4,142893,11,4,3,2,4,1,0,0,40,39,0
26,4,238502,11,2,7,0,4,1,0,0,40,39,0
25,1,426146,11,4,8,4,2,0,0,0,40,39,0
54,6,413325,11,2,7,0,4,1,7407,0,55,39,1
39,2,177264,12,2,10,0,2,1,0,1888,47,39,1
28,0,103701,15,2,0,0,4,1,0,0,19,39,0
27,4,166597,11,4,12,3,4,0,0,0,23,39,0
19,4,131425,11,4,6,3,4,1,0,0,28,39,0
41,4,117140,11,2,3,0,4,1,14889,0,40,39,1
44,7,175380,15,0,10,4,4,0,0,0,40,39,0
37,4,156424,15,2,3,0,4,1,0,0,45,39,1
18,4,230232,1,4,3,3,4,1,0,0,40,39,0
38,4,189411,15,0,14,1,4,1,0,0,40,11,0
62,4,23903,1,2,1,0,4,1,4001,0,40,39,0
42,4,174650,12,2,4,0,4,1,0,0,40,39,1
38,7,404870,9,2,10,0,4,1,0,0,40,39,0
34,4,117889,15,0,7,4,4,0,0,0,40,39,0
52,5,167162,11,2,8,0,2,1,0,0,5,14,0
34,4,202409,15,2,10,0,4,1,0,0,50,39,1
30,4,21462,9,4,3,1,4,0,0,0,40,39,0
33,5,98350,8,2,5,0,4,1,0,0,50,26,0
81,7,106951,11,2,1,0,4,1,3197,0,49,39,0
56,6,214454,15,2,3,0,4,1,0,0,40,39,1
46,6,264267,7,2,12,0,4,1,0,1904,40,39,1
35,4,198380,11,4,12,1,4,0,0,0,21,39,0
45,4,179925,11,0,7,1,4,0,0,0,40,39,0
43,4,56298,15,2,5,0,4,1,0,0,50,39,0
58,4,173916,12,2,14,0,4,1,0,0,50,39,1
75,6,221125,9,2,5,0,4,1,7617,0,40,39,1
34,4,156370,9,0,4,4,4,0,0,0,40,39,0
46,1,354991,11,2,5,0,2,1,0,0,40,39,0
40,4,30593,11,0,8,4,4,0,0,0,40,39,0
52,4,79380,9,5,9,2,2,1,0,0,40,39,0
18,4,429180,11,4,6,3,4,1,0,0,30,39,0
29,4,195456,11,4,14,1,4,1,0,0,40,39,0
22,4,66667,15,0,8,1,4,0,0,0,27,39,0
51,4,268827,15,2,10,0,4,1,0,0,40,39,0
23,4,172143,15,4,6,1,4,1,0,0,36,24,0
38,6,266902,12,2,3,0,4,1,99984,0,40,39,1
26,6,442774,15,2,3,0,4,1,0,0,40,39,0
23,4,233721,9,4,4,3,4,0,0,0,30,39,0
35,4,213345,8,2,3,0,4,1,0,0,40,39,0
63,0,71293,0,2,0,0,4,1,0,0,40,39,0
37,4,160813,15,6,1,1,4,0,0,0,21,39,1
45,4,140100,11,2,3,0,4,1,0,1987,45,39,1
